Step,Molecular_BLOB_Ered_dense_precision_multirank_fine-tuning_20250515_014033 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_fine-tuning_20250515_014006 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_ml_trigger_20250513_082526 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_ml_trigger_20250507_014507 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_recursive_20250508_122413 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_recursive_20250508_160447 - best_value
150,1.54135178,1.54135178,1.54135178,1.54135178,,1.54135178
151,1.54135178,1.54135178,1.54135178,,,
152,1.54135178,1.54135178,1.54135178,,,
153,1.54135178,1.54135178,1.54135178,,,
154,1.54135178,1.54135178,1.54135178,,,
155,1.54135178,1.54135178,1.54135178,,,
156,1.54135178,1.54135178,1.54135178,,,
157,1.54135178,1.54135178,1.54135178,,,
158,1.54135178,1.54135178,1.54135178,,,
159,1.54135178,1.54135178,1.54135178,,,
160,1.54135178,1.54135178,1.54135178,,,
161,1.54135178,1.54135178,1.54135178,,,
162,1.54135178,1.54135178,1.54135178,,,
163,1.54135178,1.54135178,1.54135178,,,
164,1.54135178,1.54135178,1.54135178,,,
165,1.54135178,1.54135178,1.54135178,,,
166,,1.54135178,1.54135178,,,
167,,1.54135178,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
,,,1.54135178,,,
